id,transcript,ayah_assignment,confidence,transcript_split_by_ayahs,actual_ayahs
train-001,قل هو الله أحد,112001,high,"[{""id"": ""112001"", ""transcript"": ""قل هو الله أحد""}]","[{""id"": ""112001"", ""type"": ""ayah"", ""ar"": ""قُلْ هُوَ اللَّهُ أَحَدٌ"", ""clean"": """", ""en"": ""Qul huwaLlaahu aĥad.""}]"
train-002,لا يقاتلونكم إلا في قرى محصنة أو من وراء جدر,059014,medium,"[{""id"": ""059014"", ""transcript"": ""لا يقاتلونكم إلا في قرى محصنة أو من وراء جدر""}]","[{""id"": ""059014"", ""type"": ""ayah"", ""ar"": ""لَا يُقَاتِلُونَكُمْ جَمِيعًا إِلَّا فِي قُرًى مُّحَصَّنَةٍ أَوْ مِن وَرَاءِ جُدُرٍ ۚ بَأْسُهُم بَيْنَهُمْ شَدِيدٌ ۚ تَحْسَبُهُمْ جَمِيعًا وَقُلُوبُهُمْ شَتَّىٰ ۚ ذَٰلِكَ بِأَنَّهُمْ قَوْمٌ لَّا يَعْقِلُونَ"", ""clean"": """", ""en"": """"}]"
train-003,لا يقاتلونكم إلا في قرى محصنة أو من وراء جدر بأسهم بينهم شديد تحسبهم جميعا وقلوبهم شتى ذلك بأنهم قوم لا يفقهون,059014,high,"[{""id"": ""059014"", ""transcript"": ""لا يقاتلونكم إلا في قرى محصنة أو من وراء جدر بأسهم بينهم شديد تحسبهم جميعا وقلوبهم شتى ذلك بأنهم قوم لا يفقهون""}]","[{""id"": ""059014"", ""type"": ""ayah"", ""ar"": ""لَا يُقَاتِلُونَكُمْ جَمِيعًا إِلَّا فِي قُرًى مُّحَصَّنَةٍ أَوْ مِن وَرَاءِ جُدُرٍ ۚ بَأْسُهُم بَيْنَهُمْ شَدِيدٌ ۚ تَحْسَبُهُمْ جَمِيعًا وَقُلُوبُهُمْ شَتَّىٰ ۚ ذَٰلِكَ بِأَنَّهُمْ قَوْمٌ لَّا يَعْقِلُونَ"", ""clean"": """", ""en"": """"}]"
train-004,وإني أعيدكم بسلطان مبين وإني عذت بربي وربكم أن ترجمون وإن لم تؤمنوا لي فاعتزلون فدعا ربه أن هؤلاء القوم مجرمون فأسر بعبادي ليلا إنكم متبعون واترك البحر رهوا إنهم جند مغرقون كم تركوا من جنات وعيون وزروع ومقام كريم ونعمة كانوا فيها فاكهين كذلك وأورثناها قوما آخرين فما بكت عليهم السماء والأرض وما كانوا منظرين,044019-044029,high,"[{""id"": ""044019"", ""transcript"": ""وإني أعيدكم بسلطان مبين""}, {""id"": ""044020"", ""transcript"": ""وإني عذت بربي وربكم أن ترجمون""}, {""id"": ""044021"", ""transcript"": ""وإن لم تؤمنوا لي فاعتزلون""}, {""id"": ""044022"", ""transcript"": ""فدعا ربه أن هؤلاء القوم مجرمون""}, {""id"": ""044023"", ""transcript"": ""فأسر بعبادي ليلا إنكم متبعون""}, {""id"": ""044024"", ""transcript"": ""واترك البحر رهوا إنهم جند مغرقون""}, {""id"": ""044025"", ""transcript"": ""كم تركوا من جنات وعيون""}, {""id"": ""044026"", ""transcript"": ""وزروع ومقام كريم""}, {""id"": ""044027"", ""transcript"": ""ونعمة كانوا فيها فاكهين""}, {""id"": ""044028"", ""transcript"": ""كذلك وأورثناها قوما آخرين""}, {""id"": ""044029"", ""transcript"": ""فما بكت عليهم السماء والأرض وما كانوا منظرين""}]","[{""id"": ""044019"", ""type"": ""ayah"", ""ar"": ""وَأَن لَّا تَعْلُوا عَلَى اللَّهِ ۖ إِنِّي آتِيكُم بِسُلْطَانٍ مُّبِينٍ"", ""clean"": """", ""en"": """"}, {""id"": ""044020"", ""type"": ""ayah"", ""ar"": ""وَإِنِّي عُذْتُ بِرَبِّي وَرَبِّكُمْ أَن تَرْجُمُونِ"", ""clean"": """", ""en"": """"}, {""id"": ""044021"", ""type"": ""ayah"", ""ar"": ""وَإِن لَّمْ تُؤْمِنُوا لِي فَاعْتَزِلُونِ"", ""clean"": """", ""en"": """"}, {""id"": ""044022"", ""type"": ""ayah"", ""ar"": ""فَدَعَا رَبَّهُ أَنَّ هَـٰؤُلَاءِ قَوْمٌ مُّجْرِمُونَ"", ""clean"": """", ""en"": """"}, {""id"": ""044023"", ""type"": ""ayah"", ""ar"": ""فَأَسْرِ بِعِبَادِي لَيْلًا إِنَّكُم مُّتَّبَعُونَ"", ""clean"": """", ""en"": """"}, {""id"": ""044024"", ""type"": ""ayah"", ""ar"": ""وَاتْرُكِ الْبَحْرَ رَهْوًا ۖ إِنَّهُمْ جُندٌ مُّغْرَقُونَ"", ""clean"": """", ""en"": """"}, {""id"": ""044025"", ""type"": ""ayah"", ""ar"": ""كَمْ تَرَكُوا مِن جَنَّاتٍ وَعُيُونٍ"", ""clean"": """", ""en"": """"}, {""id"": ""044026"", ""type"": ""ayah"", ""ar"": ""وَزُرُوعٍ وَمَقَامٍ كَرِيمٍ"", ""clean"": """", ""en"": """"}, {""id"": ""044027"", ""type"": ""ayah"", ""ar"": ""وَنَعْمَةٍ كَانُوا فِيهَا فَاكِهِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""044028"", ""type"": ""ayah"", ""ar"": ""كَذَٰلِكَ ۖ وَأَوْرَثْنَاهَا قَوْمًا آخَرِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""044029"", ""type"": ""ayah"", ""ar"": ""فَمَا بَكَتْ عَلَيْهِمُ السَّمَاءُ وَالْأَرْضُ وَمَا كَانُوا مُنظَرِينَ"", ""clean"": """", ""en"": """"}]"
train-005,إن يوم الفصل ميقاتهم أجمعين يوم لا يغني مولى عن مولى شيئا ولا هم ينصرون إلا من رحم الله إنه هو العزيز الرحيم إن شجرة الزقوم,044040-044043,high,"[{""id"": ""044040"", ""transcript"": ""إن يوم الفصل ميقاتهم أجمعين""}, {""id"": ""044041"", ""transcript"": ""يوم لا يغني مولى عن مولى شيئا ولا هم ينصرون""}, {""id"": ""044042"", ""transcript"": ""إلا من رحم الله إنه هو العزيز الرحيم""}, {""id"": ""044043"", ""transcript"": ""إن شجرة الزقوم""}]","[{""id"": ""044040"", ""type"": ""ayah"", ""ar"": ""إِنَّ يَوْمَ الْفَصْلِ مِيقَاتُهُمْ أَجْمَعِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""044041"", ""type"": ""ayah"", ""ar"": ""يَوْمَ لَا يُغْنِي مَوْلًى عَن مَّوْلًى شَيْئًا وَلَا هُمْ يُنصَرُونَ"", ""clean"": """", ""en"": """"}, {""id"": ""044042"", ""type"": ""ayah"", ""ar"": ""إِلَّا مَن رَّحِمَ اللَّهُ ۚ إِنَّهُ هُوَ الْعَزِيزُ الرَّحِيمُ"", ""clean"": """", ""en"": """"}, {""id"": ""044043"", ""type"": ""ayah"", ""ar"": ""إِنَّ شَجَرَتَ الزَّقُّومِ"", ""clean"": """", ""en"": """"}]"
train-006,أعوذ بالله من الشيطان الرجيم بسم الله الرحمن الرحيم القارعة ما القارعة وما أدراك ما القارعة,101001-101003,high,"[{""id"": ""101001"", ""transcript"": ""القارعة""}, {""id"": ""101002"", ""transcript"": ""ما القارعة""}, {""id"": ""101003"", ""transcript"": ""وما أدراك ما القارعة""}]","[{""id"": ""101001"", ""type"": ""ayah"", ""ar"": ""الْقَارِعَةُ"", ""clean"": """", ""en"": """"}, {""id"": ""101002"", ""type"": ""ayah"", ""ar"": ""مَا الْقَارِعَةُ"", ""clean"": """", ""en"": """"}, {""id"": ""101003"", ""type"": ""ayah"", ""ar"": ""وَمَا أَدْرَاكَ مَا الْقَارِعَةُ"", ""clean"": """", ""en"": """"}]"
train-007,أعوذ بالله من الشيطان الرجيم بسم الله الرحمن الرحيم والتين والزيتون وطور سينين وهذا البلد الأمين,095001-095003,high,"[{""id"": ""095001"", ""transcript"": ""والتين والزيتون""}, {""id"": ""095002"", ""transcript"": ""وطور سينين""}, {""id"": ""095003"", ""transcript"": ""وهذا البلد الأمين""}]","[{""id"": ""095001"", ""type"": ""ayah"", ""ar"": ""وَالتِّينِ وَالزَّيْتُونِ"", ""clean"": """", ""en"": """"}, {""id"": ""095002"", ""type"": ""ayah"", ""ar"": ""وَطُورِ سِينِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""095003"", ""type"": ""ayah"", ""ar"": ""وَهَـٰذَا الْبَلَدِ الْأَمِينِ"", ""clean"": """", ""en"": """"}]"
train-008,والتين والزيتون وطور سينين وهذا البلد الأمين لقد خلقنا الإنسان في أحسن تقويم ثم رددناه أسفل سافلين إلا الذين آمنوا وعملوا الصالحات فلهم أجر غير ممنون فما يكذبك بعد بالدين أليس الله بأحكم الحاكمين,095001-095007,high,"[{""id"": ""095001"", ""transcript"": ""والتين والزيتون""}, {""id"": ""095002"", ""transcript"": ""وطور سينين""}, {""id"": ""095003"", ""transcript"": ""وهذا البلد الأمين""}, {""id"": ""095004"", ""transcript"": ""لقد خلقنا الإنسان في أحسن تقويم""}, {""id"": ""095005"", ""transcript"": ""ثم رددناه أسفل سافلين""}, {""id"": ""095006"", ""transcript"": ""إلا الذين آمنوا وعملوا الصالحات فلهم أجر غير ممنون""}, {""id"": ""095007"", ""transcript"": ""فما يكذبك بعد بالدين""}]","[{""id"": ""095001"", ""type"": ""ayah"", ""ar"": ""وَالتِّينِ وَالزَّيْتُونِ"", ""clean"": """", ""en"": """"}, {""id"": ""095002"", ""type"": ""ayah"", ""ar"": ""وَطُورِ سِينِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""095003"", ""type"": ""ayah"", ""ar"": ""وَهَـٰذَا الْبَلَدِ الْأَمِينِ"", ""clean"": """", ""en"": """"}, {""id"": ""095004"", ""type"": ""ayah"", ""ar"": ""لَقَدْ خَلَقْنَا الْإِنسَانَ فِي أَحْسَنِ تَقْوِيمٍ"", ""clean"": """", ""en"": """"}, {""id"": ""095005"", ""type"": ""ayah"", ""ar"": ""ثُمَّ رَدَدْنَاهُ أَسْفَلَ سَافِلِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""095006"", ""type"": ""ayah"", ""ar"": ""إِلَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ"", ""clean"": """", ""en"": """"}, {""id"": ""095007"", ""type"": ""ayah"", ""ar"": ""فَمَا يُكَذِّبُكَ بَعْدُ بِالدِّينِ"", ""clean"": """", ""en"": """"}]"
train-009,والتين والزيتون وطور سينين وهذا البلد الأمين لقد خلقنا الإنسان في أحسن تقويم ثم رددناه أسفل سافلين إلا الذين آمنوا وعملوا الصالحات فلهم أجر غير ممنون فما يكذبك بعد بالدين أليس الله بأحكم الحاكمين,095001-095008,high,"[{""id"": ""095001"", ""transcript"": ""والتين والزيتون""}, {""id"": ""095002"", ""transcript"": ""وطور سينين""}, {""id"": ""095003"", ""transcript"": ""وهذا البلد الأمين""}, {""id"": ""095004"", ""transcript"": ""لقد خلقنا الإنسان في أحسن تقويم""}, {""id"": ""095005"", ""transcript"": ""ثم رددناه أسفل سافلين""}, {""id"": ""095006"", ""transcript"": ""إلا الذين آمنوا وعملوا الصالحات فلهم أجر غير ممنون""}, {""id"": ""095007"", ""transcript"": ""فما يكذبك بعد بالدين""}, {""id"": ""095008"", ""transcript"": ""أليس الله بأحكم الحاكمين""}]","[{""id"": ""095001"", ""type"": ""ayah"", ""ar"": ""وَالتِّينِ وَالزَّيْتُونِ"", ""clean"": """", ""en"": """"}, {""id"": ""095002"", ""type"": ""ayah"", ""ar"": ""وَطُورِ سِينِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""095003"", ""type"": ""ayah"", ""ar"": ""وَهَـٰذَا الْبَلَدِ الْأَمِينِ"", ""clean"": """", ""en"": """"}, {""id"": ""095004"", ""type"": ""ayah"", ""ar"": ""لَقَدْ خَلَقْنَا الْإِنسَانَ فِي أَحْسَنِ تَقْوِيمٍ"", ""clean"": """", ""en"": """"}, {""id"": ""095005"", ""type"": ""ayah"", ""ar"": ""ثُمَّ رَدَدْنَاهُ أَسْفَلَ سَافِلِينَ"", ""clean"": """", ""en"": """"}, {""id"": ""095006"", ""type"": ""ayah"", ""ar"": ""إِلَّا الَّذِينَ آمَنُوا وَعَمِلُوا الصَّالِحَاتِ فَلَهُمْ أَجْرٌ غَيْرُ مَمْنُونٍ"", ""clean"": """", ""en"": """"}, {""id"": ""095007"", ""type"": ""ayah"", ""ar"": ""فَمَا يُكَذِّبُكَ بَعْدُ بِالدِّينِ"", ""clean"": """", ""en"": """"}, {""id"": ""095008"", ""type"": ""ayah"", ""ar"": ""أَلَيْسَ اللَّهُ بِأَحْكَمِ الْحَاكِمِينَ"", ""clean"": """", ""en"": """"}]"
train-010,لا أعبد ما تعبدون,109002,high,"[{""id"": ""109002"", ""transcript"": ""لا أعبد ما تعبدون""}]","[{""id"": ""109002"", ""type"": ""ayah"", ""ar"": ""لَا أَعْبُدُ مَا تَعْبُدُونَ"", ""clean"": """", ""en"": ""Laa aعbudu maa taعbudoon.""}]"
